Experience;repTrainingTrain;repTrainingValidation;repTrainingTest;window_size;stride;numNeuronsInput;numNeuronsHidden1;numNeuronsHidden2;numNeuronsOutput;transferFunctionHidden1;transferFunctionHidden2;transferFunctionOutput;initialMomentum;momentum;numEpochsToIncreaseMomentum;learningRate;lambda;rewardType;gamma;reserved_space_for_gesture;miniBatchSize;epsilon;numEpochs
0;2;2;1;200;100;40;40;40;6;1;1;2;0.3;0.9;8;1.00E-01;0.01;1;0.99;10;32;0.3;3
1;15;5;3;200;20;40;40;40;6;1;1;2;0.3;0.9;8;1.00E-01;0.01;1;0.99;10;32;0.3;1
2;88;12;25;200;20;40;40;40;6;1;1;2;0.3;0.9;8;1.00E-01;0.01;1;0.99;10;32;0.3;1
3;15;5;10;230;20;40;80;40;6;1;1;2;0.3;0.9;8;1.00E-01;0.01;1;0.99;10;32;0.3;1
4;10;2;2;200;20;40;40;40;6;1;1;2;0.3;0.9;8;1.00E-01;0.01;1;0.99;10;32;0.3;1
5;88;12;3;200;20;46;40;40;6;1;1;2;0.3;0.9;8;1.00E-01;0.01;1;0.99;10;32;0.3;1
6;15;5;3;200;20;46;46;46;6;1;1;2;0.3;0.9;8;1.00E-01;0.01;1;0.99;100;64;0.3;1
7;15;5;3;200;20;46;46;46;6;1;1;2;0.3;0.9;8;1.00E-01;0.01;1;0.99;200;128;0.3;1
8;15;5;3;200;20;46;46;46;6;1;1;2;0.3;0.9;8;1.00E-01;0.01;1;0.999;200;128;0.3;1
9;15;5;3;200;20;46;46;46;6;1;1;2;0.3;0.9;8;3.00E-01;0.01;1;0.99;200;128;0.3;1
10;15;5;3;200;20;46;46;46;6;1;1;2;0.3;0.9;8;3.00E-01;0.01;1;0.99;200;128;0.2;1
11;15;5;3;200;20;46;46;46;6;1;1;2;0.3;0.9;8;3.00E-01;0.01;1;0.99;200;128;0.4;1
12;15;5;3;200;20;46;46;46;6;1;1;2;0.3;0.9;8;3.00E-01;0.01;1;0.99;200;128;0.3;3
13;15;5;3;200;20;46;30;30;6;1;1;2;0.3;0.9;8;3.00E-01;0.01;1;0.99;200;64;0.3;1
14;15;5;3;200;20;46;60;50;6;1;1;2;0.3;0.9;8;1.00E-02;0.3;1;0.99;200;64;0.3;1
15;15;5;3;200;20;46;60;50;6;1;1;2;0.3;0.9;8;5.00E-02;0.01;1;0.99;200;64;0.3;1
16;15;5;3;230;20;46;20;20;6;1;1;2;0.3;0.9;8;9.00E-02;0.01;1;0.99;200;32;0.3;1
17;15;5;3;230;30;46;46;46;6;1;1;2;0.3;0.9;8;1.00E-01;0.01;1;0.99;200;32;0.3;1
18;15;5;3;230;30;46;50;46;6;1;1;2;0.3;0.9;8;1.00E-01;0.01;1;0.99;200;32;0.3;1
19;15;5;3;230;30;46;40;46;6;1;1;2;0.3;0.9;8;1.00E-01;0.01;1;0.99;200;32;0.3;1
20;15;5;3;230;30;46;46;40;6;1;1;2;0.3;0.9;8;1.00E-01;0.01;1;0.99;200;32;0.3;1
21;20;5;3;230;25;46;46;50;6;1;1;2;0.3;0.9;8;1.00E-01;0.01;1;0.99;200;32;0.3;1
22;20;5;3;230;25;46;46;20;6;1;1;2;0.3;0.9;8;1.00E-01;0.01;1;0.99;200;32;0.3;1
23;15;5;3;230;30;46;46;6;6;1;1;2;0.3;0.9;8;1.00E-01;0.01;1;0.99;200;32;0.3;1
24;15;5;3;230;30;46;128;128;6;1;1;2;0.3;0.9;8;1.00E-01;0.01;1;0.99;200;32;0.3;1
25;15;5;3;230;30;46;46;46;6;1;1;2;0.3;0.9;8;3.00E-01;0.01;1;0.99;200;32;0.3;1
